n,listLength,G,delta,alpha,recall,precision,F value,MAE,备注
200,10,1.6,500,0.1,0.89192%,18.1410%,1.70025%,0,UGT1
200,20,1.6,500,0.1,1.11765%,16.2530%,2.09148%,0,UGT1
200,30,1.6,500,0.1,1.32687%,16.3500%,2.45455%,0,UGT1
200,40,1.6,500,0.1,1.45901%,16.4698%,2.68055%,0,UGT1
200,50,1.6,500,0.1,1.56912%,16.6083%,2.86734%,0,UGT1
200,60,1.6,500,0.1,1.63519%,16.5459%,2.97625%,0,UGT1
200,70,1.6,500,0.1,1.70676%,16.6219%,3.09566%,0,UGT1
200,80,1.6,500,0.1,1.76732%,16.6753%,3.19593%,0,UGT1
200,90,1.6,500,0.1,1.78935%,16.4556%,3.22772%,0,UGT1
200,100,1.6,500,0.1,1.83890%,16.4938%,3.30889%,0,UGT1
200,10,1.6,500,0.1,0.86004%,16.4015%,1.63439%,0,UGT2
200,20,1.6,500,0.1,1.21449%,17.1828%,2.26863%,0,UGT2
200,30,1.6,500,0.1,1.42298%,17.3996%,2.63081%,0,UGT2
200,40,1.6,500,0.1,1.55329%,17.2553%,2.85003%,0,UGT2
200,50,1.6,500,0.1,1.66796%,17.1950%,3.04095%,0,UGT2
200,60,1.6,500,0.1,1.75136%,17.1341%,3.17790%,0,UGT2
200,70,1.6,500,0.1,1.79306%,16.9291%,3.24268%,0,UGT2
200,80,1.6,500,0.1,1.82434%,16.8107%,3.29148%,0,UGT2
200,90,1.6,500,0.1,1.85040%,16.6510%,3.33067%,0,UGT2
200,100,1.6,500,0.1,1.89210%,16.6896%,3.39887%,0,UGT2
200,10,1.6,500,0.1,0.85832%,17.3913%,1.63590%,0,UGT3
200,20,1.6,500,0.1,1.15337%,17.3948%,2.16330%,0,UGT3
200,30,1.6,500,0.1,1.35722%,17.2460%,2.51641%,0,UGT3
200,40,1.6,500,0.1,1.57180%,17.5975%,2.88584%,0,UGT3
200,50,1.6,500,0.1,1.71664%,17.4577%,3.12591%,0,UGT3
200,60,1.6,500,0.1,1.85612%,17.4835%,3.35596%,0,UGT3
200,70,1.6,500,0.1,1.96341%,17.2722%,3.52601%,0,UGT3
